V_actual,OMEGA_actual,V_ref,OMEGA_ref
0.20024184931072003,-0.00037869853824639457,0.2,0.0
0.20005853276819427,0.001371307315488855,0.2,0.0
0.20005593190415558,0.0025164112976863787,0.2,0.0
0.1998399071399827,-0.00027462203019922564,0.2,0.0
0.20005546740582683,-0.00034339376131624274,0.2,0.0
0.2002080002265373,-0.0003700469738874133,0.2,0.0
0.20018279353451227,0.0007308677745588809,0.2,0.0
0.20003532260277715,0.0015909857975716394,0.2,0.0
0.19980309279308375,-0.0002216645446562909,0.2,0.0
0.19994037041754562,-0.0003367312835746018,0.2,0.0
0.2001685038610372,-0.00036995146307821156,0.2,0.0
0.2002230861722819,0.00037011979225670644,0.2,0.0
0.19951090708238797,0.003389359791560665,0.2,0.0
0.19975351621256154,0.0001759449276988133,0.2,0.0
0.19990413399250398,-0.00034194163172701094,0.2,0.0
0.20020246550660054,-0.0003699100910298397,0.2,0.0
0.20024453700446712,8.58778647199933e-05,0.2,0.0
0.19858858509670588,0.01030718441590794,0.2,0.0
0.19975253596292974,0.00034615271577232473,0.2,0.0
0.19993626881081508,-0.00034848942318794427,0.2,0.0
0.2001622139157352,-0.0003680706233817526,0.2,0.0
0.20022740853129675,0.0003235653012945091,0.2,0.0
0.1991620456028832,0.0074378910567946665,0.2,0.0
0.19961182270240432,-0.00033876630870942304,0.2,0.0
0.1998242989879079,-0.0002527245574439265,0.2,0.0
0.20011913291229774,-0.00036040286795457243,0.2,0.0
0.20025566413582058,-0.00035741816973704286,0.2,0.0
0.19994286035532857,0.0020673896643660715,0.2,0.0
0.19989313886288707,0.0014073812139101525,0.2,0.0
0.19978892457888955,-0.00019441720127522913,0.2,0.0
0.19999207034068306,-0.0003069332166859707,0.2,0.0
0.20025587317467936,-0.00018845609507960615,0.2,0.0
0.20014379904303076,0.0009160957145026504,0.2,0.0
0.19957039425895687,-0.0006118508393938034,0.2,0.0
0.19975617040325752,-0.00013322627779526936,0.2,0.0
0.2000305032281177,-0.0003294551791033503,0.2,0.0
0.20018637308659512,-0.0003682546555960673,0.2,0.0
0.19999277519585673,0.0017549874597510375,0.2,0.0
0.2000062485619271,-0.0003401941229805721,0.0,-0.3141592653589793
0.1644840687930712,0.1909036466963374,0.0,-0.3141592653589793
0.11139555395562185,0.32625795664106466,0.0,-0.3141592653589793
0.0803366912265271,0.26248686777270686,0.0,-0.3141592653589793
0.07491000298699688,0.22210817442620667,0.0,-0.3141592653589793
0.06798330676436742,0.17037517925659607,0.0,-0.3141592653589793
0.054481052708542504,0.07027290090173846,0.0,-0.3141592653589793
0.030994088659309787,-0.10417712276167578,0.0,-0.3141592653589793
0.005908570335274349,-0.29052967120464585,0.0,-0.3141592653589793
0.002984027786051438,-0.3123749403699708,0.0,-0.3141592653589793
0.002993552107498397,-0.31263515688446625,0.0,-0.3141592653589793
0.0029996905715500843,-0.31290707802857504,0.0,-0.3141592653589793
0.0030023729908671545,-0.313087434216077,0.0,-0.3141592653589793
0.0030040149486561503,-0.31335498190433003,0.0,-0.3141592653589793
0.00300322194982552,-0.31368089961325607,0.0,-0.3141592653589793
0.0029829953596049595,-0.3137520264124939,0.0,-0.3141592653589793
0.0029160592371694502,-0.31378107454543963,0.0,-0.3141592653589793
0.00287666912444095,-0.3137576844442101,0.0,-0.3141592653589793
0.002800155590011394,-0.31359795705654103,0.0,-0.3141592653589793
0.0014199288820336351,-0.30491916327632607,0.0,-0.3141592653589793
0.0011877253170557893,-0.28814334787723,0.0,-0.3141592653589793
0.002169446247631348,-0.31043772636703876,0.0,-0.3141592653589793
0.0025483050215855084,-0.3130882565380985,0.0,-0.3141592653589793
0.0025165019961566337,-0.3127992321813438,0.0,-0.3141592653589793
0.0025271635630622798,-0.3126481475991748,0.0,-0.3141592653589793
0.002596315250443125,-0.31246736179370377,0.0,-0.3141592653589793
0.0026519581135197668,-0.31229586144336413,0.0,-0.3141592653589793
0.0033006585172021814,-0.30785741412816625,0.0,-0.3141592653589793
0.0037379043558516956,-0.304962349954901,0.0,-0.3141592653589793
0.002862046816404868,-0.3121026752137609,0.0,-0.3141592653589793
0.0028991393661089576,-0.31211354052787593,0.0,-0.3141592653589793
0.0029489880416120073,-0.31217106492349256,0.0,-0.3141592653589793
0.0029860768365928578,-0.31229821130776103,0.0,-0.3141592653589793
0.0030032509243185677,-0.3126326289617769,0.0,-0.3141592653589793
0.003011096580455251,-0.31290214250594983,0.0,-0.3141592653589793
0.003014731036360899,-0.3130823038769039,0.0,-0.3141592653589793
0.0030177358738907307,-0.3133510643318345,0.0,-0.3141592653589793
0.00301611657125339,-0.3136084054344163,0.0,-0.3141592653589793
0.0029956168996363294,-0.313765489163641,0.0,-0.3141592653589793
0.0029482899133151537,-0.31380227027521557,0.0,-0.3141592653589793
0.0028914096463035486,-0.3137880570590245,0.0,-0.3141592653589793
0.0028224638630290192,-0.313680708299585,0.0,-0.3141592653589793
0.0022970375095460113,-0.31060600560301505,0.0,-0.3141592653589793
0.0003803915106490421,-0.2983905247881919,0.0,-0.3141592653589793
0.002679527513436459,-0.31372382314546116,0.0,-0.3141592653589793
0.002562592294579564,-0.3131228891431792,0.0,-0.3141592653589793
0.0025327063922310454,-0.31292139931469937,0.0,-0.3141592653589793
0.002539922531527816,-0.31267136198187656,0.0,-0.3141592653589793
0.0026058776664582483,-0.31248341764823007,0.0,-0.3141592653589793
0.0026600157672885256,-0.31229844099573806,0.0,-0.3141592653589793
0.0034516059964831798,-0.30676416671389023,0.0,0.0
0.000136422648936937,2.3198484119715155e-05,0.0,0.0
0.00014899960699324104,4.039979302305509e-05,0.0,0.0
0.00013349399299237628,0.00015314035474812477,0.0,0.0
0.00013201670305091142,0.00016607750217915944,0.0,0.0
0.00013231406706003607,0.00016822158797854574,0.0,0.0
0.000132337224968895,0.0001700344682432665,0.0,0.0
0.0001323718135597963,0.00017356747125463933,0.0,0.0
0.00013238910672942752,0.00017519322096050985,0.0,0.0
0.0001324101852619208,0.00017756442434170612,0.0,0.0
0.00013243231143944962,0.00017978250239368318,0.2,0.0
0.05014312014872035,-0.22945639767797046,0.2,0.0
0.1518171969503302,-0.28732835585955335,0.2,0.0
0.20021783279501065,-0.00022815562426906988,0.2,0.0
0.19906196165469514,0.008315608865635387,0.2,0.0
0.19988239286912962,0.00079787434268896,0.2,0.0
0.19977466305307465,-0.00010927700191045413,0.2,0.0
0.20000711823306605,-0.0005388646616940042,0.2,0.0
0.20016126889321506,-0.0005715657834640622,0.2,0.0
0.20017670610849184,0.0004516134662808284,0.2,0.0
0.20017754407331914,0.00041555981879795665,0.2,0.0
0.19974325736335463,-4.686260874811343e-05,0.2,0.0
0.1999638043062194,-0.0005064902055101773,0.2,0.0
0.20011990736663493,-0.0005762578470093056,0.2,0.0
0.20012289452145138,0.0009248145087749639,0.2,0.0
0.1992950948701547,0.005891959695577553,0.2,0.0
0.19988868386697817,0.0011605950863887483,0.2,0.0
0.19992349189830244,-0.00048234197507220197,0.2,0.0
0.2000765997894648,-0.0005680232738353836,0.2,0.0
0.20018248990126492,0.00039070212624080133,0.2,0.0
0.1986282292176467,0.010738799623946327,0.2,0.0
0.1995994225259063,-0.0006839543767030233,0.2,0.0
0.19989668887408382,-0.000549298159132237,0.2,0.0
0.20003248781790617,-0.0005529310033117752,0.2,0.0
0.20020768478114884,5.653761424879189e-05,0.2,0.0
0.19915441240139645,0.006867558641240342,0.2,0.0
0.19975384848469355,0.0005408033843879743,0.2,0.0
0.19979230991341715,-0.000364420292897834,0.2,0.0
0.19998943080263062,-0.0005244620666312451,0.2,0.0
0.20022095665450437,-0.00021840237722046995,0.2,0.0
0.20004197768621415,0.0015392616068221113,0.2,0.0
